,crit_r1,crit_r2,crit_r3,crit_r4,crit_r5,crit_r6,crit_r7,cont_r1,cont_r2,cont_r3,cont_r4,cont_r5,cont_r6,cont_r7,item_id
0,-27.74169921875,-26.289527893066406,-27.780649185180664,-18.2221622467041,-29.13874053955078,-20.693023681640625,-29.20114517211914,-13.378713607788086,-20.7414608001709,-21.22718048095703,-21.88511848449707,-18.526058197021484,-27.73741912841797,-26.72753143310547,1_A_NP1_amb
1,-27.74169921875,-26.289527893066406,-27.780649185180664,-28.719884872436523,-23.119583129882812,-17.134109497070312,-25.103919982910156,-9.726239204406738,-16.992576599121094,-14.710058212280273,-16.912979125976562,-16.49808692932129,-23.44083023071289,-23.178834915161133,1_A_NP1_un
2,-27.74169921875,-26.289527893066406,-27.780649185180664,-18.2221622467041,-29.13874053955078,-20.693023681640625,-29.20114517211914,-13.378713607788086,-20.7414608001709,-21.058887481689453,-21.787399291992188,-18.300596237182617,-27.749818801879883,-26.701242446899414,1_A_NP2_amb
3,-27.74169921875,-26.289527893066406,-27.780649185180664,-29.571176528930664,-23.091798782348633,-17.28134536743164,-24.956989288330078,-9.644207954406738,-17.003372192382812,-14.661211967468262,-17.004619598388672,-16.370391845703125,-23.594343185424805,-23.241565704345703,1_A_NP2_un
4,-26.57564926147461,-25.652786254882812,-29.284757614135742,-18.213258743286133,-29.28888702392578,-20.79467010498047,-29.227304458618164,-13.389725685119629,-20.793460845947266,-20.951152801513672,-21.853580474853516,-18.350587844848633,-27.830032348632812,-26.733867645263672,1_B_NP1_amb
5,-26.57564926147461,-25.652786254882812,-29.284757614135742,-29.22390365600586,-23.202505111694336,-17.32506561279297,-24.93021583557129,-9.626569747924805,-17.049850463867188,-14.135196685791016,-16.934307098388672,-16.358041763305664,-23.719329833984375,-23.300132751464844,1_B_NP1_un
6,-26.57564926147461,-25.652786254882812,-29.284757614135742,-18.213258743286133,-29.28888702392578,-20.79467010498047,-29.227304458618164,-13.389725685119629,-20.793460845947266,-21.93651580810547,-22.04949188232422,-18.554174423217773,-27.797080993652344,-26.78360366821289,1_B_NP2_amb
7,-26.57564926147461,-25.652786254882812,-29.284757614135742,-28.988204956054688,-23.214839935302734,-17.25436782836914,-25.027441024780273,-9.66944694519043,-17.01544761657715,-15.396703720092773,-16.9991397857666,-16.500280380249023,-23.409099578857422,-23.172300338745117,1_B_NP2_un
8,-27.31275177001953,-15.837509155273438,-16.8980712890625,-18.803115844726562,-34.31462097167969,-19.737546920776367,-13.945470809936523,-13.832433700561523,-26.646743774414062,-17.598125457763672,-18.02897834777832,-45.61676025390625,-24.43053436279297,-19.273916244506836,2_A_NP1_amb
9,-27.31275177001953,-15.837509155273438,-16.8980712890625,-20.309284210205078,-34.295413970947266,-19.818798065185547,-13.829771041870117,-13.774689674377441,-26.645401000976562,-17.518177032470703,-18.041263580322266,-45.743309020996094,-24.411216735839844,-19.255638122558594,2_A_NP1_un
