,item_id,passage_sylls
0,1_A_NP1_amb,137
1,1_A_NP1_un,139
2,1_A_NP2_amb,137
3,1_A_NP2_un,139
4,1_B_NP1_amb,137
5,1_B_NP1_un,139
6,1_B_NP2_amb,137
7,1_B_NP2_un,139
8,2_A_NP1_amb,130
9,2_A_NP1_un,132
10,2_A_NP2_amb,130
11,2_A_NP2_un,132
12,2_B_NP1_amb,130
13,2_B_NP1_un,132
14,2_B_NP2_amb,130
15,2_B_NP2_un,132
16,3_A_NP1_amb,140
17,3_A_NP1_un,141
18,3_A_NP2_amb,139
19,3_A_NP2_un,141
20,3_B_NP1_amb,139
21,3_B_NP1_un,141
22,3_B_NP2_amb,140
23,3_B_NP2_un,141
24,4_A_NP1_amb,161
25,4_A_NP1_un,163
26,4_A_NP2_amb,162
27,4_A_NP2_un,163
28,4_B_NP1_amb,162
29,4_B_NP1_un,163
30,4_B_NP2_amb,161
31,4_B_NP2_un,163
32,5_A_NP1_amb,128
33,5_A_NP1_un,129
34,5_A_NP2_amb,126
35,5_A_NP2_un,129
36,5_B_NP1_amb,126
37,5_B_NP1_un,129
38,5_B_NP2_amb,128
39,5_B_NP2_un,129
40,6_A_NP1_amb,145
41,6_A_NP1_un,147
42,6_A_NP2_amb,146
43,6_A_NP2_un,147
44,6_B_NP1_amb,146
45,6_B_NP1_un,147
46,6_B_NP2_amb,145
47,6_B_NP2_un,147
48,7_A_NP1_amb,160
49,7_A_NP1_un,161
50,7_A_NP2_amb,156
51,7_A_NP2_un,161
52,7_B_NP1_amb,156
53,7_B_NP1_un,161
54,7_B_NP2_amb,160
55,7_B_NP2_un,161
56,8_A_NP1_amb,151
57,8_A_NP1_un,155
58,8_A_NP2_amb,152
59,8_A_NP2_un,155
60,8_B_NP1_amb,152
61,8_B_NP1_un,155
62,8_B_NP2_amb,151
63,8_B_NP2_un,155
64,9_A_NP1_amb,148
65,9_A_NP1_un,149
66,9_A_NP2_amb,148
67,9_A_NP2_un,149
68,9_B_NP1_amb,148
69,9_B_NP1_un,149
70,9_B_NP2_amb,148
71,9_B_NP2_un,149
72,10_A_NP1_amb,159
73,10_A_NP1_un,160
74,10_A_NP2_amb,159
75,10_A_NP2_un,160
76,10_B_NP1_amb,159
77,10_B_NP1_un,160
78,10_B_NP2_amb,159
79,10_B_NP2_un,160
80,11_A_NP1_amb,150
81,11_A_NP1_un,152
82,11_A_NP2_amb,151
83,11_A_NP2_un,152
84,11_B_NP1_amb,151
85,11_B_NP1_un,152
86,11_B_NP2_amb,150
87,11_B_NP2_un,152
88,12_A_NP1_amb,156
89,12_A_NP1_un,159
90,12_A_NP2_amb,156
91,12_A_NP2_un,159
92,12_B_NP1_amb,156
93,12_B_NP1_un,159
94,12_B_NP2_amb,156
95,12_B_NP2_un,159
96,13_A_NP1_amb,158
97,13_A_NP1_un,159
98,13_A_NP2_amb,158
99,13_A_NP2_un,159
100,13_B_NP1_amb,158
101,13_B_NP1_un,159
102,13_B_NP2_amb,158
103,13_B_NP2_un,159
104,14_A_NP1_amb,165
105,14_A_NP1_un,168
106,14_A_NP2_amb,166
107,14_A_NP2_un,168
108,14_B_NP1_amb,166
109,14_B_NP1_un,168
110,14_B_NP2_amb,165
111,14_B_NP2_un,168
112,15_A_NP1_amb,152
113,15_A_NP1_un,153
114,15_A_NP2_amb,152
115,15_A_NP2_un,153
116,15_B_NP1_amb,152
117,15_B_NP1_un,153
118,15_B_NP2_amb,152
119,15_B_NP2_un,153
120,16_A_NP1_amb,150
121,16_A_NP1_un,153
122,16_A_NP2_amb,151
123,16_A_NP2_un,153
124,16_B_NP1_amb,151
125,16_B_NP1_un,153
126,16_B_NP2_amb,150
127,16_B_NP2_un,153
128,17_A_NP1_amb,145
129,17_A_NP1_un,148
130,17_A_NP2_amb,146
131,17_A_NP2_un,148
132,17_B_NP1_amb,146
133,17_B_NP1_un,148
134,17_B_NP2_amb,145
135,17_B_NP2_un,148
136,18_A_NP1_amb,163
137,18_A_NP1_un,165
138,18_A_NP2_amb,164
139,18_A_NP2_un,165
140,18_B_NP1_amb,164
141,18_B_NP1_un,165
142,18_B_NP2_amb,163
143,18_B_NP2_un,165
144,19_A_NP1_amb,158
145,19_A_NP1_un,161
146,19_A_NP2_amb,160
147,19_A_NP2_un,161
148,19_B_NP1_amb,160
149,19_B_NP1_un,161
150,19_B_NP2_amb,158
151,19_B_NP2_un,161
152,20_A_NP1_amb,128
153,20_A_NP1_un,131
154,20_A_NP2_amb,130
155,20_A_NP2_un,131
156,20_B_NP1_amb,130
157,20_B_NP1_un,131
158,20_B_NP2_amb,128
159,20_B_NP2_un,131
160,21_A_NP1_amb,149
161,21_A_NP1_un,151
162,21_A_NP2_amb,149
163,21_A_NP2_un,151
164,21_B_NP1_amb,149
165,21_B_NP1_un,151
166,21_B_NP2_amb,149
167,21_B_NP2_un,151
168,22_A_NP1_amb,156
169,22_A_NP1_un,159
170,22_A_NP2_amb,156
171,22_A_NP2_un,159
172,22_B_NP1_amb,156
173,22_B_NP1_un,159
174,22_B_NP2_amb,156
175,22_B_NP2_un,159
176,23_A_NP1_amb,167
177,23_A_NP1_un,170
178,23_A_NP2_amb,169
179,23_A_NP2_un,170
180,23_B_NP1_amb,169
181,23_B_NP1_un,170
182,23_B_NP2_amb,167
183,23_B_NP2_un,170
184,24_A_NP1_amb,151
185,24_A_NP1_un,154
186,24_A_NP2_amb,153
187,24_A_NP2_un,154
188,24_B_NP1_amb,153
189,24_B_NP1_un,154
190,24_B_NP2_amb,151
191,24_B_NP2_un,154
192,25_A_NP1_amb,145
193,25_A_NP1_un,146
194,25_A_NP2_amb,145
195,25_A_NP2_un,146
196,25_B_NP1_amb,145
197,25_B_NP1_un,146
198,25_B_NP2_amb,145
199,25_B_NP2_un,146
200,26_A_NP1_amb,150
201,26_A_NP1_un,151
202,26_A_NP2_amb,150
203,26_A_NP2_un,151
204,26_B_NP1_amb,150
205,26_B_NP1_un,151
206,26_B_NP2_amb,150
207,26_B_NP2_un,151
208,27_A_NP1_amb,144
209,27_A_NP1_un,145
210,27_A_NP2_amb,144
211,27_A_NP2_un,145
212,27_B_NP1_amb,144
213,27_B_NP1_un,145
214,27_B_NP2_amb,144
215,27_B_NP2_un,145
216,28_A_NP1_amb,152
217,28_A_NP1_un,155
218,28_A_NP2_amb,153
219,28_A_NP2_un,155
220,28_B_NP1_amb,153
221,28_B_NP1_un,155
222,28_B_NP2_amb,152
223,28_B_NP2_un,155
224,29_A_NP1_amb,157
225,29_A_NP1_un,158
226,29_A_NP2_amb,155
227,29_A_NP2_un,158
228,29_B_NP1_amb,155
229,29_B_NP1_un,158
230,29_B_NP2_amb,157
231,29_B_NP2_un,158
232,30_A_NP1_amb,127
233,30_A_NP1_un,129
234,30_A_NP2_amb,126
235,30_A_NP2_un,129
236,30_B_NP1_amb,126
237,30_B_NP1_un,129
238,30_B_NP2_amb,127
239,30_B_NP2_un,129
